graph_type,n_left,n_right,num_vertices,num_edges,density,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_hopcroft
powerlaw,50,50,100,125,0.05,2.5,24,17.61,0.67136,0.05,0,50050787,23,17,19,20.0,20.0,15.023355847187933,case1,20,0.0,0.0,31.94127276470539,60,600,600,760,0.5,4,93,0.7391304347826086,0.8260869565217391,0.8695652173913043,-3.0,-0.13043478260869565,7.499998901039362e-06,6.600006599910557e-06,0.016374200000427663,0.00021230000129435211
powerlaw,50,50,100,125,0.05,2.5,24,18.25,0.6968000000000001,0.05,1,50060787,19,17,14,13.0,13.0,12.158422980093404,case1,13,0.0,0.0,43.873013379039854,74,740,740,844,0.5,4,93,0.8947368421052632,0.7368421052631579,0.6842105263157895,-6.0,-0.3157894736842105,6.299989763647318e-06,4.9000082071870565e-06,0.025615099992137402,0.00017139999545179307
powerlaw,50,50,100,125,0.05,2.5,24,16.65,0.6756800000000001,0.05,2,50070787,21,17,18,17.0,17.0,16.289190060364774,case1,17,0.0,0.0,61.13581201385215,66,660,660,796,0.5,4,93,0.8095238095238095,0.8571428571428571,0.8095238095238095,-4.0,-0.19047619047619047,8.000002708286047e-06,6.300004315562546e-06,0.015835700003663078,0.00020249999943189323
powerlaw,50,50,100,125,0.05,2.5,24,17.85,0.6731199999999999,0.05,3,50080787,21,16,18,17.0,17.0,13.264936260683395,case1,17,0.0,0.0,31.931033856855564,66,660,660,796,0.5,4,93,0.7619047619047619,0.8571428571428571,0.8095238095238095,-4.0,-0.19047619047619047,7.800001185387373e-06,5.900001269765198e-06,0.017472300009103492,0.00019999999494757503
powerlaw,50,50,100,125,0.05,2.5,26,18.73,0.71296,0.05,4,50090787,17,14,11,13.0,13.0,11.263552041587708,case1,13,0.0,0.0,35.231375153783894,74,740,740,844,0.5,4,93,0.8235294117647058,0.6470588235294118,0.7647058823529411,-4.0,-0.23529411764705882,7.099995855242014e-06,4.799992893822491e-06,0.018031300001894124,0.00019759999122470617
powerlaw,50,50,100,250,0.1,5.0,41,46.16,0.54088,0.1,0,50100787,35,27,28,27.0,27.0,23.890144274197052,case1,27,0.0,0.0,77.96857651897162,46,460,460,676,0.5,4,93,0.7714285714285715,0.8,0.7714285714285715,-8.0,-0.22857142857142856,1.1900003300979733e-05,8.300004992634058e-06,0.03743839998787735,0.00031600000511389226
powerlaw,50,50,100,250,0.1,5.0,37,43.78,0.5673600000000001,0.1,1,50110787,33,26,26,27.0,27.0,22.934484314592233,case1,27,0.0,0.0,68.7399075769921,46,460,460,676,0.5,4,93,0.7878787878787878,0.7878787878787878,0.8181818181818182,-6.0,-0.18181818181818182,1.0700008715502918e-05,8.800008799880743e-06,0.030471999998553656,0.0003015000111190602
powerlaw,50,50,100,250,0.1,5.0,41,46.56,0.55152,0.1,2,50120787,32,25,23,25.0,25.0,22.612190612019777,case1,25,0.0,0.0,76.9412727647054,50,500,500,700,0.5,4,93,0.78125,0.71875,0.78125,-7.0,-0.21875,1.3700002455152571e-05,1.0700008715502918e-05,0.04153790000418667,0.00024130000383593142
powerlaw,50,50,100,250,0.1,5.0,40,45.52,0.55416,0.1,3,50130787,34,25,28,24.0,24.0,23.062998353949432,case1,24,0.0,0.0,86.95151167255523,52,520,520,712,0.5,4,93,0.7352941176470589,0.8235294117647058,0.7058823529411765,-10.0,-0.29411764705882354,1.2300006346777081e-05,1.0000003385357559e-05,0.03770349999831524,0.0003156000020680949
powerlaw,50,50,100,250,0.1,5.0,38,45.28,0.5565599999999999,0.1,4,50140787,35,29,26,26.0,26.0,23.771585080134336,case1,26,0.0,0.0,82.48052191146307,48,480,480,688,0.5,4,93,0.8285714285714286,0.7428571428571429,0.7428571428571429,-9.0,-0.2571428571428571,1.2500007869675756e-05,1.030000566970557e-05,0.040222399999038316,0.0002592000091681257
powerlaw,100,100,200,100,0.01,1.0,23,6.97,0.81955,0.01,0,100010787,21,19,17,18.0,18.0,13.968444147646455,case1,18,0.0,0.0,33.06785273513381,164,1640,1640,1784,0.5,4,150,0.9047619047619048,0.8095238095238095,0.8571428571428571,-3.0,-0.14285714285714285,7.499998901039362e-06,4.999994416721165e-06,0.01779050000186544,0.0002734000008786097
powerlaw,100,100,200,100,0.01,1.0,25,7.97,0.8246,0.01,1,100020787,21,18,18,18.0,18.0,13.347819571548806,case1,18,0.0,0.0,27.074571660105814,164,1640,1640,1784,0.5,4,150,0.8571428571428571,0.8571428571428571,0.8571428571428571,-3.0,-0.14285714285714285,6.400005077011883e-06,5.199995939619839e-06,0.017230199999175966,0.0002803999959724024
powerlaw,100,100,200,100,0.01,1.0,24,7.76,0.8280000000000001,0.01,2,100030787,18,16,15,16.0,16.0,13.078889016987095,case1,16,0.0,0.0,35.791256990452965,168,1680,1680,1808,0.5,4,150,0.8888888888888888,0.8333333333333334,0.8888888888888888,-2.0,-0.1111111111111111,7.000009645707905e-06,4.699992132373154e-06,0.016858699993463233,0.0003245999978389591
powerlaw,100,100,200,100,0.01,1.0,26,9.19,0.8268000000000002,0.01,3,100040787,18,16,16,16.0,16.0,12.659573159892718,case1,16,0.0,0.0,31.741984873991594,168,1680,1680,1808,0.5,4,150,0.8888888888888888,0.8888888888888888,0.8888888888888888,-2.0,-0.1111111111111111,7.099995855242014e-06,4.5000051613897085e-06,0.021665599997504614,0.0001908999984152615
powerlaw,100,100,200,100,0.01,1.0,21,6.6,0.8327,0.01,4,100050787,21,19,18,17.0,17.0,11.336173681811156,case1,17,0.0,0.0,13.305254750811297,166,1660,1660,1796,0.5,4,150,0.9047619047619048,0.8571428571428571,0.8095238095238095,-4.0,-0.19047619047619047,8.699993486516178e-06,5.199995939619839e-06,0.01458259999344591,0.0003328000020701438
powerlaw,100,100,200,500,0.05,5.0,65,77.61,0.6408,0.05,0,100050787,55,45,48,44.0,44.0,37.98782610584006,case1,44,0.0,0.0,117.9413129814944,112,1120,1120,1472,0.5,4,150,0.8181818181818182,0.8727272727272727,0.8,-11.0,-0.2,1.9699989934451878e-05,1.580000389367342e-05,0.06343959999503568,0.00047900000936351717
powerlaw,100,100,200,500,0.05,5.0,67,84.48,0.6456600000000001,0.05,1,100060787,47,39,37,37.0,37.0,33.162099424567806,case1,37,0.0,0.0,110.93795351900837,126,1260,1260,1556,0.5,4,150,0.8297872340425532,0.7872340425531915,0.7872340425531915,-10.0,-0.2127659574468085,2.0499996026046574e-05,1.720000000204891e-05,0.08639170000969898,0.0004309999931138009
powerlaw,100,100,200,500,0.05,5.0,72,84.8,0.6372800000000001,0.05,2,100070787,49,41,38,39.0,39.0,34.12633359614774,case1,39,0.0,0.0,108.93571387735105,122,1220,1220,1532,0.5,4,150,0.8367346938775511,0.7755102040816326,0.7959183673469388,-10.0,-0.20408163265306123,2.200000744778663e-05,1.7300000763498247e-05,0.09773080000013579,0.0004712999943876639
powerlaw,100,100,200,500,0.05,5.0,75,88.05,0.6406800000000001,0.05,3,100080787,49,40,40,38.0,38.0,36.32987891365029,case1,38,0.0,0.0,135.871884090117,124,1240,1240,1544,0.5,4,150,0.8163265306122449,0.8163265306122449,0.7755102040816326,-11.0,-0.22448979591836735,2.0899999071843922e-05,1.9099999917671084e-05,0.07827129999350291,0.0005472000048030168
powerlaw,100,100,200,500,0.05,5.0,70,81.9,0.64012,0.05,4,100090787,52,41,38,43.0,43.0,37.77566679530332,case1,43,0.0,0.0,121.5493756914608,114,1140,1140,1484,0.5,4,150,0.7884615384615384,0.7307692307692307,0.8269230769230769,-9.0,-0.17307692307692307,2.239999594166875e-05,1.889999839477241e-05,0.07518810000328813,0.0005090999911772087
